City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
broome,90,US,1619332671,57,42.2506,-75.833,50.0,4.61
rikitea,100,PF,1619332672,75,-23.1203,-134.9692,78.62,11.16
vilya,95,RU,1619332672,70,55.2456,42.2089,41.5,17.9
albany,100,US,1619332673,50,42.6001,-73.9662,51.01,1.45
ushuaia,0,AR,1619332674,70,-54.8,-68.3,44.6,8.05
nikolskoye,75,RU,1619332674,87,59.7035,30.7861,39.2,11.18
taltal,0,CL,1619332675,84,-25.4,-70.4833,60.93,3.09
qaanaaq,27,GL,1619332675,70,77.484,-69.3632,21.02,8.01
mayo,90,US,1619332676,93,38.8876,-76.5119,51.8,6.91
zgierz,0,PL,1619332676,56,51.8556,19.4062,42.01,8.05
mataura,80,NZ,1619332677,80,-46.1927,168.8643,44.01,10.0
aksay,0,RU,1619332677,46,47.26,39.87,48.2,2.24
hami,46,CN,1619332678,26,42.8,93.45,46.99,6.17
arraial do cabo,31,BR,1619332678,94,-22.8362,-46.646,62.6,8.05
punta arenas,13,PH,1619332679,64,8.9897,125.34,85.87,7.65
saint-philippe,0,RE,1619332679,65,-21.3585,55.7679,82.99,28.77
bengkulu,54,ID,1619332429,67,-3.8004,102.2655,84.4,7.94
pangnirtung,100,CA,1619332681,74,66.1451,-65.7125,30.51,4.94
talnakh,100,RU,1619332682,81,69.4865,88.3972,15.91,12.26
rosario,0,AR,1619332516,81,-32.9468,-60.6393,55.99,6.91
saldanha,100,ZA,1619332683,88,-33.0117,17.9442,59.0,3.44
tabou,100,CI,1619332683,88,4.423,-7.3528,77.76,5.66
arlit,96,NE,1619332684,9,18.7369,7.3853,93.42,9.82
puerto escondido,40,ES,1619332684,77,36.5939,-6.233,62.6,16.11
hobart,75,AU,1619332685,51,-42.8794,147.3294,59.0,17.27
pacific grove,17,US,1619332686,97,38.482,-90.7415,45.0,4.12
pinawa,6,CA,1619332686,57,50.1489,-95.8811,27.41,7.31
hasaki,75,JP,1619332686,43,35.7333,140.8333,75.0,5.75
padang,20,ID,1619332687,66,-0.9492,100.3543,87.8,8.05
oktyabrskoye,90,RU,1619332687,76,43.0645,44.7417,53.6,4.47
grindavik,90,IS,1619332688,100,63.8424,-22.4338,42.8,9.22
tasiilaq,20,GL,1619332688,75,65.6145,-37.6368,37.4,4.61
ponta do sol,20,PT,1619332689,76,38.7333,-28.2667,55.4,4.61
poli,75,TZ,1619332689,94,-3.3333,36.8,69.8,3.2
provideniya,100,RU,1619332690,87,64.3833,-173.3,35.22,1.88
berlevag,100,NO,1619332691,77,70.8578,29.0864,33.15,18.97
kodiak,90,US,1619332691,87,57.79,-152.4072,39.2,9.22
kavieng,52,PG,1619332691,74,-2.5744,150.7967,83.48,9.44
port alfred,100,CD,1619332692,72,-7.0349,29.7638,76.17,0.58
edd,99,ER,1619332693,39,13.9297,41.6925,94.78,16.62
bredasdorp,100,ZA,1619332693,94,-34.5322,20.0403,55.4,4.61
busselton,0,AU,1619332694,57,-33.65,115.3333,75.99,1.99
castro,100,BR,1619332593,85,-24.7911,-50.0119,56.55,2.91
novoorsk,75,RU,1619332695,76,51.381,58.9813,55.4,17.9
cape town,0,CL,1619332696,100,-36.413,-71.9028,44.6,2.3
yerbogachen,100,RU,1619332696,96,61.2767,108.0108,37.36,5.48
